"Fergus Electric Cooperative,  MT",,,
Latitude = N 46.908300,,,
Longitude = W 109.808000,,,
Elevation = 4450 ft,,,
Calm threshold = 1 mph,,,
Time stamps indicate the beginning of the time step.,,,
Date/Time,Average Speed,Standard Deviation,Average Direction [°]
4/23/01 14:00,3.7,2.83,23
4/23/01 14:10,8.9,5.29,248
4/23/01 14:20,14.6,3.05,248
4/23/01 14:30,18.9,4.01,270
4/23/01 14:40,14.7,3.9,248
4/23/01 14:50,15.5,2.62,248
4/23/01 15:00,13.3,2.57,293
4/23/01 15:10,15.5,2.78,293
4/23/01 15:20,9.3,1.66,338
4/23/01 15:30,7,2.19,338
4/23/01 15:40,13.7,3.1,293
4/23/01 15:50,12.3,4.06,293
4/23/01 16:00,16.2,4.54,270
4/23/01 16:10,22.8,2.14,293
4/23/01 16:20,21.7,2.78,293
4/23/01 16:30,17.9,2.09,293
4/23/01 16:40,13.5,3.96,293
4/23/01 16:50,16.9,3.53,293
4/23/01 17:00,19.5,1.87,293
4/23/01 17:10,18.1,4.49,293
4/23/01 17:20,18.6,2.99,293
4/23/01 17:30,19.7,2.62,293
4/23/01 17:40,18.5,2.78,270
4/23/01 17:50,20.8,2.14,293
4/23/01 18:00,23.6,3.8,293
4/23/01 18:10,22.9,1.98,293
4/23/01 18:20,24.3,2.46,293
4/23/01 18:30,20.2,2.35,293
4/23/01 18:40,26.3,4.17,248
4/23/01 18:50,29.4,2.3,248
4/23/01 19:00,29,2.51,248
4/23/01 19:10,26.7,2.78,248
4/23/01 19:20,25.1,2.35,248
4/23/01 19:30,20.4,1.71,248
4/23/01 19:40,18.1,1.66,248
4/23/01 19:50,16.8,0.86,248
4/23/01 20:00,19.2,1.39,248
4/23/01 20:10,17.2,1.55,248
4/23/01 20:20,19.2,3.53,248
4/23/01 20:30,22.8,1.82,248
4/23/01 20:40,21,1.82,270
4/23/01 20:50,18.7,1.39,248
4/23/01 21:00,20.6,1.39,248
4/23/01 21:10,19.4,1.23,248
4/23/01 21:20,17.7,1.12,248
4/23/01 21:30,17.4,1.71,248
4/23/01 21:40,19.9,1.23,248
4/23/01 21:50,20.4,1.44,248
4/23/01 22:00,21.2,1.23,248
4/23/01 22:10,20.5,1.34,248
4/23/01 22:20,19.6,1.28,248
4/23/01 22:30,21.4,1.39,270
4/23/01 22:40,23.2,1.6,270
4/23/01 22:50,27.3,1.82,270
4/23/01 23:00,28.2,1.71,270
4/23/01 23:10,29.1,1.92,270
4/23/01 23:20,26.3,1.76,270
4/23/01 23:30,23.5,1.6,270
4/23/01 23:40,20.8,1.6,270
4/23/01 23:50,17.3,1.39,248
4/24/01 0:00,18.7,1.02,248
4/24/01 0:10,19.1,1.07,248
4/24/01 0:20,20.6,1.02,248
4/24/01 0:30,21.7,1.18,248
4/24/01 0:40,22.8,0.86,270
4/24/01 0:50,22.2,1.07,270
4/24/01 1:00,22.1,1.28,270
4/24/01 1:10,23.3,1.18,270
4/24/01 1:20,24.3,1.44,270
4/24/01 1:30,24.3,1.39,270
4/24/01 1:40,24.6,1.55,270
4/24/01 1:50,22.9,1.6,270
4/24/01 2:00,20.3,1.66,270
4/24/01 2:10,17.6,1.23,248
4/24/01 2:20,20.3,2.35,248
4/24/01 2:30,27.1,1.6,270
4/24/01 2:40,28.7,1.34,270
4/24/01 2:50,26.5,1.92,270
4/24/01 3:00,24.2,1.55,270
4/24/01 3:10,21.1,1.55,270
4/24/01 3:20,19.8,1.82,248
4/24/01 3:30,18.7,1.55,248
4/24/01 3:40,16.5,1.5,248
4/24/01 3:50,15.1,2.83,248
4/24/01 4:00,9,1.23,225
4/24/01 4:10,11.6,2.3,248
4/24/01 4:20,17.7,2.14,248
4/24/01 4:30,19.7,1.76,248
4/24/01 4:40,17.6,1.5,248
4/24/01 4:50,17.1,1.18,248
4/24/01 5:00,16.2,1.02,248
4/24/01 5:10,16.1,1.12,248
4/24/01 5:20,17.1,1.23,248
4/24/01 5:30,19.4,1.76,248
4/24/01 5:40,21.7,1.23,248
4/24/01 5:50,24.1,1.5,248
4/24/01 6:00,22.2,1.71,248
4/24/01 6:10,19.4,1.82,248
4/24/01 6:20,18.4,1.55,248
4/24/01 6:30,16.5,1.71,248
